insecticide,surface,repnum,total mosquitoes,filename,num_mos,month,strain,hours,mort_pcent,miscount,species,resistance
deltamethrin,wood,1,10,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,10,1,kisumu,0.5,90,0,An. gambiae,susceptible
deltamethrin,wood,2,11,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,11,1,kisumu,0.5,100,0,An. gambiae,susceptible
deltamethrin,wood,3,12,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,12,1,kisumu,0.5,91.66666667,0,An. gambiae,susceptible
control,cement,1,12,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,12,1,kisumu,0.5,0,0,An. gambiae,susceptible
control,cement,2,12,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,12,1,kisumu,0.5,0,0,An. gambiae,susceptible
control,cement,3,11,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,11,1,kisumu,0.5,0,0,An. gambiae,susceptible
deltamethrin,cement,1,12,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,12,1,kisumu,0.5,91.66666667,0,An. gambiae,susceptible
deltamethrin,cement,2,12,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,12,1,kisumu,0.5,100,0,An. gambiae,susceptible
deltamethrin,cement,3,12,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,12,1,kisumu,0.5,91.66666667,0,An. gambiae,susceptible
control,mud,1,12,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,12,1,kisumu,0.5,8.333333333,0,An. gambiae,susceptible
control,mud,2,12,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,12,1,kisumu,0.5,0,0,An. gambiae,susceptible
control,mud,3,11,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,11,1,kisumu,0.5,0,0,An. gambiae,susceptible
deltamethrin,mud,1,9,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,9,1,kisumu,0.5,55.55555556,0,An. gambiae,susceptible
deltamethrin,mud,2,10,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,10,1,kisumu,0.5,100,0,An. gambiae,susceptible
deltamethrin,mud,3,10,Results for 1 months post spray/kISUMU 11TH NOV 16.xlsx,10,1,kisumu,0.5,70,0,An. gambiae,susceptible
control,wood,1,8,Results for 1 months post spray/new orleans 15th nov 16.xlsx,8,1,orleans,0.5,0,0,A. aegypti,susceptible
control,wood,2,10,Results for 1 months post spray/new orleans 15th nov 16.xlsx,10,1,orleans,0.5,0,0,A. aegypti,susceptible
control,wood,3,10,Results for 1 months post spray/new orleans 15th nov 16.xlsx,10,1,orleans,0.5,0,0,A. aegypti,susceptible
deltamethrin,wood,1,10,Results for 1 months post spray/new orleans 15th nov 16.xlsx,10,1,orleans,0.5,100,0,A. aegypti,susceptible
deltamethrin,wood,2,10,Results for 1 months post spray/new orleans 15th nov 16.xlsx,10,1,orleans,0.5,100,0,A. aegypti,susceptible
deltamethrin,wood,3,11,Results for 1 months post spray/new orleans 15th nov 16.xlsx,11,1,orleans,0.5,100,0,A. aegypti,susceptible
control,cement,1,11,Results for 1 months post spray/new orleans 15th nov 16.xlsx,11,1,orleans,0.5,0,0,A. aegypti,susceptible
control,cement,2,10,Results for 1 months post spray/new orleans 15th nov 16.xlsx,10,1,orleans,0.5,0,0,A. aegypti,susceptible
control,cement,3,10,Results for 1 months post spray/new orleans 15th nov 16.xlsx,10,1,orleans,0.5,0,0,A. aegypti,susceptible
deltamethrin,cement,1,10,Results for 1 months post spray/new orleans 15th nov 16.xlsx,10,1,orleans,0.5,100,1,A. aegypti,susceptible
deltamethrin,cement,2,10,Results for 1 months post spray/new orleans 15th nov 16.xlsx,10,1,orleans,0.5,100,0,A. aegypti,susceptible
deltamethrin,cement,3,10,Results for 1 months post spray/new orleans 15th nov 16.xlsx,10,1,orleans,0.5,90,0,A. aegypti,susceptible
control,mud,1,10,Results for 1 months post spray/new orleans 15th nov 16.xlsx,10,1,orleans,0.5,0,0,A. aegypti,susceptible
control,mud,2,10,Results for 1 months post spray/new orleans 15th nov 16.xlsx,10,1,orleans,0.5,0,0,A. aegypti,susceptible
control,mud,3,6,Results for 1 months post spray/new orleans 15th nov 16.xlsx,6,1,orleans,0.5,0,0,A. aegypti,susceptible
deltamethrin,mud,1,11,Results for 1 months post spray/new orleans 15th nov 16.xlsx,11,1,orleans,0.5,54.54545455,0,A. aegypti,susceptible
deltamethrin,mud,2,11,Results for 1 months post spray/new orleans 15th nov 16.xlsx,11,1,orleans,0.5,63.63636364,0,A. aegypti,susceptible
deltamethrin,mud,3,10,Results for 1 months post spray/new orleans 15th nov 16.xlsx,10,1,orleans,0.5,70,0,A. aegypti,susceptible
control,wood,1,12,Results for 1 months post spray/VK7 2014 11TH NOV 16.xlsx,12,1,vk7,0.5,0,0,An. gambiae,resistant
control,wood,2,10,Results for 1 months post spray/VK7 2014 11TH NOV 16.xlsx,10,1,vk7,0.5,0,0,An. gambiae,resistant
